Date : 2025-05-31 11:07:05
Directory : /home/ali/repos/Automation
Total : 153 files,  9072 codes, 347 comments, 1556 blanks, all 10975 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| internal/core/medicines                                                      |          4 |        157 |          5 |         34 |        196 |
| internal/core/militarydetails                                                |          4 |        201 |          5 |         33 |        239 |
| internal/core/person                                                         |          4 |        454 |         14 |         70 |        538 |
| internal/core/persontype                                                     |          4 |        135 |         16 |         28 |        179 |
| internal/core/physicalinfo                                                   |          4 |        210 |         11 |         37 |        258 |
| internal/core/physicalstatus                                                 |          4 |        105 |          2 |         25 |        132 |
| internal/core/prescription                                                   |          4 |        159 |          5 |         38 |        202 |
| internal/core/psychologicalstatus                                            |          4 |        119 |          4 |         33 |        156 |
| internal/core/rank                                                           |          4 |        192 |          4 |         30 |        226 |
| internal/core/religion                                                       |          4 |        158 |         18 |         28 |        204 |
| internal/core/role                                                           |          4 |        162 |          4 |         31 |        197 |
| internal/core/skills                                                         |          4 |        192 |          6 |         35 |        233 |
| internal/db                                                                  |          2 |         95 |          1 |         11 |        107 |
| internal/logger                                                              |          2 |         75 |          0 |         40 |        115 |
| internal/middleware                                                          |          3 |        190 |          0 |         55 |        245 |
| internal/response                                                            |          1 |         34 |          0 |          8 |         42 |
| internal/seeder                                                              |          1 |         92 |          2 |          9 |        103 |
| migrations                                                                   |          2 |        146 |          0 |         16 |        162 |
| pkg                                                                          |          4 |        148 |         27 |         25 |        200 |
| pkg/security                                                                 |          2 |         49 |          2 |         11 |         62 |
| pkg/services                                                                 |          2 |         99 |         25 |         14 |        138 |
| pkg/services/router                                                          |          2 |         99 |         25 |         14 |        138 |
| test (2)                                                                     |         13 |        652 |        113 |        224 |        989 |
| test (2)/http                                                                |         13 |        652 |        113 |        224 |        989 |
| test (2)/http/databseservice                                                 |         13 |        652 |        113 |        224 |        989 |
+------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                     | language         | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /home/ali/repos/Automation/Makefile                                          | Makefile         |         22 |          7 |          8 |         37 |
| /home/ali/repos/Automation/backend.dockerfile                                | Docker           |          6 |          0 |          6 |         12 |
| /home/ali/repos/Automation/cmd/mainservice/main.go                           | Go               |         89 |          6 |          7 |        102 |
| /home/ali/repos/Automation/docker-compose.yml                                | YAML             |         60 |          0 |          2 |         62 |
| /home/ali/repos/Automation/go.mod                                            | Go Module File   |         49 |          0 |          4 |         53 |
| /home/ali/repos/Automation/go.sum                                            | Go Checksum File |        147 |          0 |          1 |        148 |
| /home/ali/repos/Automation/internal/api/api/admin.go                         | Go               |        203 |          0 |         12 |        215 |
| /home/ali/repos/Automation/internal/api/api/contactinfo.go                   | Go               |        132 |          0 |         10 |        142 |
| /home/ali/repos/Automation/internal/api/api/costumapi.go                     | Go               |        274 |         16 |         33 |        323 |
| /home/ali/repos/Automation/internal/api/api/credentials.go                   | Go               |        188 |          0 |         13 |        201 |
| /home/ali/repos/Automation/internal/api/api/education.go                     | Go               |        120 |          0 |          9 |        129 |
| /home/ali/repos/Automation/internal/api/api/familyinfo.go                    | Go               |        101 |          0 |          8 |        109 |
| /home/ali/repos/Automation/internal/api/api/hospitaldispatch.go              | Go               |        123 |          0 |         12 |        135 |
| /home/ali/repos/Automation/internal/api/api/medicalprofile.go                | Go               |        147 |          0 |         10 |        157 |
| /home/ali/repos/Automation/internal/api/api/medicine.go                      | Go               |        128 |          0 |          9 |        137 |
| /home/ali/repos/Automation/internal/api/api/militarydetails.go               | Go               |        102 |          0 |         11 |        113 |
| /home/ali/repos/Automation/internal/api/api/person.go                        | Go               |        204 |          2 |          9 |        215 |
| /home/ali/repos/Automation/internal/api/api/physicalinfo.go                  | Go               |        106 |          0 |          8 |        114 |
| /home/ali/repos/Automation/internal/api/api/prescription.go                  | Go               |        130 |          0 |          9 |        139 |
| /home/ali/repos/Automation/internal/api/api/psychologicalstatus.go           | Go               |        103 |          0 |          8 |        111 |
| /home/ali/repos/Automation/internal/api/api/role.go                          | Go               |        109 |          0 |          9 |        118 |
| /home/ali/repos/Automation/internal/api/api/service.go                       | Go               |         99 |          3 |          9 |        111 |
| /home/ali/repos/Automation/internal/api/api/skills.go                        | Go               |        116 |          0 |          9 |        125 |
| /home/ali/repos/Automation/internal/config/env.go                            | Go               |         48 |          0 |          6 |         54 |
| /home/ali/repos/Automation/internal/core/action/model.go                     | Go               |         10 |          0 |          3 |         13 |
| /home/ali/repos/Automation/internal/core/action/repo.go                      | Go               |         33 |          0 |          8 |         41 |
| /home/ali/repos/Automation/internal/core/action/service.go                   | Go               |         45 |          2 |         10 |         57 |
| /home/ali/repos/Automation/internal/core/actiontype/model.go                 | Go               |         11 |          0 |          3 |         14 |
| /home/ali/repos/Automation/internal/core/actiontype/repo.go                  | Go               |         33 |          0 |          8 |         41 |
| /home/ali/repos/Automation/internal/core/actiontype/seed.go                  | Go               |         38 |         10 |          7 |         55 |
| /home/ali/repos/Automation/internal/core/actiontype/service.go               | Go               |         46 |          3 |         10 |         59 |
| /home/ali/repos/Automation/internal/core/admin/model.go                      | Go               |         20 |          0 |          5 |         25 |
| /home/ali/repos/Automation/internal/core/admin/repo.go                       | Go               |         46 |          0 |         11 |         57 |
| /home/ali/repos/Automation/internal/core/admin/seed.go                       | Go               |         86 |          1 |         10 |         97 |
| /home/ali/repos/Automation/internal/core/admin/service.go                    | Go               |        123 |          7 |         26 |        156 |
| /home/ali/repos/Automation/internal/core/audit/interface.go                  | Go               |          4 |          0 |          2 |          6 |
| /home/ali/repos/Automation/internal/core/bloodgroup/model.go                 | Go               |          5 |          0 |          2 |          7 |
| /home/ali/repos/Automation/internal/core/bloodgroup/repo.go                  | Go               |         47 |          0 |         10 |         57 |
| /home/ali/repos/Automation/internal/core/bloodgroup/seed.go                  | Go               |         39 |          1 |          7 |         47 |
| /home/ali/repos/Automation/internal/core/bloodgroup/service.go               | Go               |         54 |          3 |         11 |         68 |
| /home/ali/repos/Automation/internal/core/contactinfo/model.go                | Go               |         11 |          0 |          2 |         13 |
| /home/ali/repos/Automation/internal/core/contactinfo/repo.go                 | Go               |         45 |          0 |         12 |         57 |
| /home/ali/repos/Automation/internal/core/contactinfo/seed.go                 | Go               |         65 |          1 |          8 |         74 |
| /home/ali/repos/Automation/internal/core/contactinfo/service.go              | Go               |         78 |          5 |         19 |        102 |
| /home/ali/repos/Automation/internal/core/credentials/model.go                | Go               |         16 |          0 |          4 |         20 |
| /home/ali/repos/Automation/internal/core/credentials/repo.go                 | Go               |         62 |          0 |         16 |         78 |
| /home/ali/repos/Automation/internal/core/credentials/seed.go                 | Go               |         66 |          1 |          9 |         76 |
| /home/ali/repos/Automation/internal/core/credentials/service.go              | Go               |        141 |          5 |         27 |        173 |
| /home/ali/repos/Automation/internal/core/education/model.go                  | Go               |         12 |          0 |          3 |         15 |
| /home/ali/repos/Automation/internal/core/education/repo.go                   | Go               |         45 |          0 |         12 |         57 |
| /home/ali/repos/Automation/internal/core/education/seed.go                   | Go               |         63 |          2 |          9 |         74 |
| /home/ali/repos/Automation/internal/core/education/service.go                | Go               |         75 |          4 |         11 |         90 |
| /home/ali/repos/Automation/internal/core/educationLevel/model.go             | Go               |          5 |          0 |          2 |          7 |
| /home/ali/repos/Automation/internal/core/educationLevel/repo.go              | Go               |         38 |          0 |         11 |         49 |
| /home/ali/repos/Automation/internal/core/educationLevel/seed.go              | Go               |         22 |          1 |          8 |         31 |
| /home/ali/repos/Automation/internal/core/educationLevel/service.go           | Go               |         21 |          0 |          7 |         28 |
| /home/ali/repos/Automation/internal/core/familyinfo/model.go                 | Go               |          9 |          0 |          2 |         11 |
| /home/ali/repos/Automation/internal/core/familyinfo/repo.go                  | Go               |         38 |          0 |         11 |         49 |
| /home/ali/repos/Automation/internal/core/familyinfo/seed.go                  | Go               |         58 |          2 |          9 |         69 |
| /home/ali/repos/Automation/internal/core/familyinfo/service.go               | Go               |         65 |          3 |         10 |         78 |
| /home/ali/repos/Automation/internal/core/gender/model.go                     | Go               |          5 |          0 |          1 |          6 |
| /home/ali/repos/Automation/internal/core/gender/repo.go                      | Go               |         40 |          0 |         10 |         50 |
| /home/ali/repos/Automation/internal/core/gender/seed.go                      | Go               |         39 |          7 |          7 |         53 |
| /home/ali/repos/Automation/internal/core/gender/service.go                   | Go               |         54 |          3 |         11 |         68 |
| /home/ali/repos/Automation/internal/core/hospitaldispatch/model.go           | Go               |         13 |          0 |          4 |         17 |
| /home/ali/repos/Automation/internal/core/hospitaldispatch/repo.go            | Go               |         38 |          0 |         11 |         49 |
| /home/ali/repos/Automation/internal/core/hospitaldispatch/seed.go            | Go               |         39 |          1 |          7 |         47 |
| /home/ali/repos/Automation/internal/core/hospitaldispatch/service.go         | Go               |         67 |          4 |         18 |         89 |
| /home/ali/repos/Automation/internal/core/hospitalvisit/model.go              | Go               |         17 |          0 |          4 |         21 |
| /home/ali/repos/Automation/internal/core/hospitalvisit/repo.go               | Go               |         38 |          0 |         11 |         49 |
| /home/ali/repos/Automation/internal/core/hospitalvisit/seed.go               | Go               |         30 |          1 |          6 |         37 |
| /home/ali/repos/Automation/internal/core/hospitalvisit/service.go            | Go               |         57 |          4 |         11 |         72 |
| /home/ali/repos/Automation/internal/core/medicalprofile/model.go             | Go               |         20 |          0 |          4 |         24 |
| /home/ali/repos/Automation/internal/core/medicalprofile/repo.go              | Go               |         48 |          0 |         12 |         60 |
| /home/ali/repos/Automation/internal/core/medicalprofile/seed.go              | Go               |         41 |          1 |          7 |         49 |
| /home/ali/repos/Automation/internal/core/medicalprofile/service.go           | Go               |         70 |          4 |         19 |         93 |
| /home/ali/repos/Automation/internal/core/medicines/model.go                  | Go               |          8 |          0 |          2 |         10 |
| /home/ali/repos/Automation/internal/core/medicines/repo.go                   | Go               |         38 |          0 |          9 |         47 |
| /home/ali/repos/Automation/internal/core/medicines/seed.go                   | Go               |         44 |          1 |          5 |         50 |
| /home/ali/repos/Automation/internal/core/medicines/service.go                | Go               |         67 |          4 |         18 |         89 |
| /home/ali/repos/Automation/internal/core/militarydetails/model.go            | Go               |         13 |          0 |          3 |         16 |
| /home/ali/repos/Automation/internal/core/militarydetails/repo.go             | Go               |         38 |          0 |         11 |         49 |
| /home/ali/repos/Automation/internal/core/militarydetails/seed.go             | Go               |         75 |          1 |          9 |         85 |
| /home/ali/repos/Automation/internal/core/militarydetails/service.go          | Go               |         75 |          4 |         10 |         89 |
| /home/ali/repos/Automation/internal/core/person/model.go                     | Go               |         64 |          1 |         11 |         76 |
| /home/ali/repos/Automation/internal/core/person/repo.go                      | Go               |         91 |          0 |         15 |        106 |
| /home/ali/repos/Automation/internal/core/person/seed.go                      | Go               |        146 |          2 |         17 |        165 |
| /home/ali/repos/Automation/internal/core/person/service.go                   | Go               |        153 |         11 |         27 |        191 |
| /home/ali/repos/Automation/internal/core/persontype/model.go                 | Go               |          5 |          0 |          2 |          7 |
| /home/ali/repos/Automation/internal/core/persontype/repo.go                  | Go               |         40 |          0 |          9 |         49 |
| /home/ali/repos/Automation/internal/core/persontype/seed.go                  | Go               |         36 |         13 |          8 |         57 |
| /home/ali/repos/Automation/internal/core/persontype/service.go               | Go               |         54 |          3 |          9 |         66 |
| /home/ali/repos/Automation/internal/core/physicalinfo/model.go               | Go               |         20 |          0 |          4 |         24 |
| /home/ali/repos/Automation/internal/core/physicalinfo/repo.go                | Go               |         40 |          0 |         11 |         51 |
| /home/ali/repos/Automation/internal/core/physicalinfo/seed.go                | Go               |         82 |          8 |         12 |        102 |
| /home/ali/repos/Automation/internal/core/physicalinfo/service.go             | Go               |         68 |          3 |         10 |         81 |
| /home/ali/repos/Automation/internal/core/physicalstatus/model.go             | Go               |          5 |          0 |          2 |          7 |
| /home/ali/repos/Automation/internal/core/physicalstatus/repo.go              | Go               |         34 |          0 |          7 |         41 |
| /home/ali/repos/Automation/internal/core/physicalstatus/seed.go              | Go               |         31 |          1 |          7 |         39 |
| /home/ali/repos/Automation/internal/core/physicalstatus/service.go           | Go               |         35 |          1 |          9 |         45 |
| /home/ali/repos/Automation/internal/core/prescription/model.go               | Go               |         15 |          0 |          4 |         19 |
| /home/ali/repos/Automation/internal/core/prescription/repo.go                | Go               |         38 |          0 |          9 |         47 |
| /home/ali/repos/Automation/internal/core/prescription/seed.go                | Go               |         39 |          1 |          7 |         47 |
| /home/ali/repos/Automation/internal/core/prescription/service.go             | Go               |         67 |          4 |         18 |         89 |
| /home/ali/repos/Automation/internal/core/psychologicalstatus/model.go        | Go               |          5 |          0 |          3 |          8 |
| /home/ali/repos/Automation/internal/core/psychologicalstatus/repo.go         | Go               |         33 |          0 |          9 |         42 |
| /home/ali/repos/Automation/internal/core/psychologicalstatus/seed.go         | Go               |         31 |          1 |          7 |         39 |
| /home/ali/repos/Automation/internal/core/psychologicalstatus/service.go      | Go               |         50 |          3 |         14 |         67 |
| /home/ali/repos/Automation/internal/core/rank/model.go                       | Go               |          6 |          0 |          1 |          7 |
| /home/ali/repos/Automation/internal/core/rank/repo.go                        | Go               |         41 |          0 |         11 |         52 |
| /home/ali/repos/Automation/internal/core/rank/seed.go                        | Go               |         67 |          1 |          7 |         75 |
| /home/ali/repos/Automation/internal/core/rank/service.go                     | Go               |         78 |          3 |         11 |         92 |
| /home/ali/repos/Automation/internal/core/religion/model.go                   | Go               |          6 |          0 |          1 |          7 |
| /home/ali/repos/Automation/internal/core/religion/repo.go                    | Go               |         40 |          0 |          9 |         49 |
| /home/ali/repos/Automation/internal/core/religion/seed.go                    | Go               |         54 |         15 |          7 |         76 |
| /home/ali/repos/Automation/internal/core/religion/service.go                 | Go               |         58 |          3 |         11 |         72 |
| /home/ali/repos/Automation/internal/core/role/model.go                       | Go               |          6 |          0 |          1 |          7 |
| /home/ali/repos/Automation/internal/core/role/repo.go                        | Go               |         45 |          0 |         12 |         57 |
| /home/ali/repos/Automation/internal/core/role/seed.go                        | Go               |         47 |          1 |          7 |         55 |
| /home/ali/repos/Automation/internal/core/role/service.go                     | Go               |         64 |          3 |         11 |         78 |
| /home/ali/repos/Automation/internal/core/skills/model.go                     | Go               |         11 |          0 |          3 |         14 |
| /home/ali/repos/Automation/internal/core/skills/repo.go                      | Go               |         45 |          0 |         12 |         57 |
| /home/ali/repos/Automation/internal/core/skills/seed.go                      | Go               |         68 |          3 |          9 |         80 |
| /home/ali/repos/Automation/internal/core/skills/serivce.go                   | Go               |         68 |          3 |         11 |         82 |
| /home/ali/repos/Automation/internal/db/db.go                                 | Go               |         38 |          0 |          8 |         46 |
| /home/ali/repos/Automation/internal/db/migrate.go                            | Go               |         57 |          1 |          3 |         61 |
| /home/ali/repos/Automation/internal/logger/logger.go                         | Go               |         24 |          0 |          6 |         30 |
| /home/ali/repos/Automation/internal/logger/logger.md                         | Markdown         |         51 |          0 |         34 |         85 |
| /home/ali/repos/Automation/internal/middleware/auth.go                       | Go               |         86 |          0 |          5 |         91 |
| /home/ali/repos/Automation/internal/middleware/headers.go                    | Go               |         39 |          0 |          8 |         47 |
| /home/ali/repos/Automation/internal/middleware/middleware.md                 | Markdown         |         65 |          0 |         42 |        107 |
| /home/ali/repos/Automation/internal/response/response.go                     | Go               |         34 |          0 |          8 |         42 |
| /home/ali/repos/Automation/internal/seeder/seed.go                           | Go               |         92 |          2 |          9 |        103 |
| /home/ali/repos/Automation/migrations/000001_create_tables.down.sql          | MS SQL           |         17 |          0 |          0 |         17 |
| /home/ali/repos/Automation/migrations/000001_create_tables.up.sql            | MS SQL           |        129 |          0 |         16 |        145 |
| /home/ali/repos/Automation/pkg/security/jwt.go                               | Go               |         39 |          1 |          7 |         47 |
| /home/ali/repos/Automation/pkg/security/password.go                          | Go               |         10 |          1 |          4 |         15 |
| /home/ali/repos/Automation/pkg/services/router/router.go                     | Go               |         10 |          1 |          4 |         15 |
| /home/ali/repos/Automation/pkg/services/router/routes.go                     | Go               |         89 |         24 |         10 |        123 |
| /home/ali/repos/Automation/readme.md                                         | Markdown         |        399 |          0 |         56 |        455 |
| /home/ali/repos/Automation/test (2)/http/databseservice/admin.http           | HTTP             |         87 |         16 |         25 |        128 |
| /home/ali/repos/Automation/test (2)/http/databseservice/contactinfo.http     | HTTP             |         41 |         11 |         24 |         76 |
| /home/ali/repos/Automation/test (2)/http/databseservice/createperson.http    | HTTP             |         68 |          5 |         15 |         88 |
| /home/ali/repos/Automation/test (2)/http/databseservice/credentials.http     | HTTP             |         59 |         15 |         38 |        112 |
| /home/ali/repos/Automation/test (2)/http/databseservice/education.http       | HTTP             |         33 |          8 |         20 |         61 |
| /home/ali/repos/Automation/test (2)/http/databseservice/familyinfo.http      | HTTP             |         28 |          6 |         16 |         50 |
| /home/ali/repos/Automation/test (2)/http/databseservice/htttp.http           | HTTP             |         88 |         10 |         20 |        118 |
| /home/ali/repos/Automation/test (2)/http/databseservice/militarydetails.http | HTTP             |         30 |          5 |          7 |         42 |
| /home/ali/repos/Automation/test (2)/http/databseservice/person.http          | HTTP             |         75 |         11 |         17 |        103 |
| /home/ali/repos/Automation/test (2)/http/databseservice/physicalinfo.http    | HTTP             |         39 |          6 |         13 |         58 |
| /home/ali/repos/Automation/test (2)/http/databseservice/physicalstatus.http  | HTTP             |         33 |          6 |          9 |         48 |
| /home/ali/repos/Automation/test (2)/http/databseservice/role.http            | HTTP             |         33 |          7 |         10 |         50 |
| /home/ali/repos/Automation/test (2)/http/databseservice/skills.http          | HTTP             |         38 |          7 |         10 |         55 |
| Total                                                                        |                  |      9,072 |        347 |      1,556 |     10,975 |
+------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
